shot_id,n_pass_nodes,n_pass_edges,n_passes_prev,pass_density,pass_clustering,pass_avg_path_length,pass_largest_eigenvalue,shooter_in_degree,shooter_out_degree,shooter_betweenness,shooter_eigenvector
99ea0fdd-96bd-4078-b8a2-c44466e8eea6,8,11,11,0.19642857142857142,0.3333333333333333,,1.4142135623730951,2.0,1.0,0.23809523809523808,0.0
8d69492c-d4ff-4d14-97d2-4c00ebad6ada,6,5,5,0.16666666666666666,0.0,,0.0,1.0,0.0,0.0,0.0
32a9efdb-5333-4be1-86a7-a03c1bf28c40,10,13,13,0.14444444444444443,0.1733333333333333,,1.618033988749895,1.0,0.0,0.0,0.0
4ed55466-f1dc-420a-8e59-5e9c6624113d,7,10,12,0.23809523809523808,0.13499154106016495,,2.275618338721148,1.0,0.0,0.0,0.0
24975a3f-1c57-4475-9149-57d99cd2be53,7,10,12,0.23809523809523808,0.13499154106016495,,2.275618338721148,1.0,1.0,0.16666666666666666,0.0
f16d5f02-3eb9-4e19-8816-8bbab748f358,6,8,8,0.26666666666666666,0.27777777777777773,,1.4655712318767675,1.0,1.0,0.1,0.0
a5c5a158-167f-4541-a86f-ec5374736ec8,9,20,26,0.2777777777777778,0.3018372314620135,,3.7219659611482183,3.0,0.0,0.0,0.0
4cb3184a-f70b-4c7c-aad7-e105370c2c3c,8,10,10,0.17857142857142858,0.5,,1.3247179572447452,2.0,1.0,0.26190476190476186,0.0
d2aee838-eab9-477b-aabd-091a3ef2ce12,7,7,7,0.16666666666666666,0.0,,1.0,1.0,0.0,0.0,0.0
b080ad0f-dba1-4cad-a0a5-3a80d004e136,0,0,0,,,,,,,,
dc8782f0-fbfc-41b6-947c-59fd533c0c65,3,2,2,0.3333333333333333,0.0,,0.0,1.0,0.0,0.0,0.0
ddc83fa0-fb65-4d37-8d38-e59b9dfb7d21,7,11,12,0.2619047619047619,0.31428571428571433,,2.1822709100717725,3.0,2.0,0.3,0.0
44f191cc-5862-4181-b9ce-fa5909f30379,5,7,7,0.35,0.0,,1.618033988749895,3.0,2.0,0.5833333333333333,0.0
